ball,distance
current,264
current,261
current,267
current,272
current,258
current,283
current,258
current,266
current,259
current,270
current,263
current,264
current,284
current,263
current,260
current,283
current,255
current,272
current,266
current,268
current,270
current,287
current,289
current,280
current,272
current,275
current,265
current,260
current,278
current,275
current,281
current,274
current,273
current,263
current,275
current,267
current,279
current,274
current,276
current,262
new,277
new,269
new,263
new,266
new,262
new,251
new,262
new,289
new,286
new,264
new,274
new,266
new,262
new,271
new,260
new,281
new,250
new,263
new,278
new,264
new,272
new,259
new,264
new,280
new,274
new,281
new,276
new,269
new,268
new,262
new,283
new,250
new,253
new,260
new,270
new,263
new,261
new,255
new,263
new,279